timestamp,converged,total_load_kw,total_losses_kw,total_bdwpt_kw,bdwpt_charging_kw,bdwpt_discharging_kw,voltage_bus_650,voltage_bus_632,voltage_bus_670,voltage_bus_671,voltage_bus_680,voltage_bus_633,voltage_bus_645,voltage_bus_646,voltage_bus_692,voltage_bus_675,voltage_bus_684,voltage_bus_611,voltage_bus_652,voltage_bus_634,bdwpt_node_632_kw,bdwpt_node_633_kw,bdwpt_node_634_kw,bdwpt_node_645_kw,bdwpt_node_646_kw,bdwpt_node_671_kw,bdwpt_node_675_kw,bdwpt_node_680_kw,vehicles_G2V,vehicles_V2G,vehicles_idle,net_load
2024-01-01 07:00:00,1,-537.8420161033453,5.373089029265551,-11.358081493150356,0.0,11.358081493150356,0.9998376037139616,0.9998161442591471,0.9996896922947583,0.9919493535372186,0.9903686147263303,0.9837650174510512,0.9892703225795217,0.9876998807427119,0.9810923499322269,0.9839325711484405,0.982382902310466,0.975767558415798,0.9839326466485829,0.9823829777322168,0,0,0.0,0,-11.358081493150356,0,0.0,0,0,1,0,-526.4839346101949
2024-01-01 07:15:00,1,-537.8405040545401,5.3749661909416355,-10.403620863473856,0.0,10.403620863473856,0.9998375948994911,0.9998159965931932,0.9996895417489501,0.9919497590137427,0.990362086394145,0.9837566820518953,0.989270720986061,0.9876933348448191,0.9810839988023347,0.9839329556843975,0.9823763215186707,0.9757591761202373,0.9839330311844707,0.9823763969399185,0,0,0.0,0,-10.403620863473856,0,0.0,0,0,1,0,-527.4368831910663
2024-01-01 07:30:00,1,-537.8391216091616,5.37668818623721,-9.529367009400422,0.0,9.529367009400422,0.9998375868255637,0.9998158613329665,0.9996894038501312,0.9919501304326764,0.9903561065121218,0.9837490469006513,0.9892710859287057,0.9876873388726144,0.9810763492416017,0.9839333079212244,0.982370293583668,0.9757514980114869,0.9839333834212343,0.9823703690044545,0,0,0.0,0,-9.529367009400422,0,0.0,0,0,1,0,-528.3097545997612
2024-01-01 07:45:00,1,-537.8378574673219,5.3782676382811205,-8.728579865753327,0.0,8.728579865753327,0.9998375794299758,0.9998157374364806,0.9996892775361605,0.9919504706534201,0.9903506290160239,0.9837420531860789,0.9892714202170355,0.987681846637961,0.9810693423278642,0.9839336305707552,0.9823647720711959,0.9757444649476229,0.9839337060707075,0.9823648474915604,0,0,0.0,0,-8.728579865753327,0,0.0,0,0,1,0,-529.1092776015686
2024-01-01 08:00:00,1,-537.8367013445082,5.379716178175287,-7.9950857593875,0.0,7.9950857593875,0.9998375726557474,0.9998156239492276,0.99968916183405,0.991950782295498,0.9903456117086925,0.9837356470337264,0.9892717264249257,0.9876768158301971,0.9810629240850534,0.9839339261173125,0.9823597144451207,0.9757380227512511,0.9839340016172113,0.9823597898650985,0,0,0.0,0,-7.9950857593875,0,0.0,0,0,1,0,-529.8416155851207
2024-01-01 08:15:00,1,-537.8356438754226,5.38104451684638,-7.323229813220484,0.0,7.323229813220484,0.9998375664506819,0.9998155199968424,0.999689055852491,0.9919510677586565,0.9903410159357087,0.9837297790919368,0.9892720069103029,0.9876722076909262,0.9810570450684176,0.9839341968367755,0.9823550817404957,0.9757321217931835,0.9839342723366257,0.9823551571601192,0,0,0.0,0,-7.323229813220484,0,0.0,0,0,1,0,-530.5124140622022
2024-01-01 08:30:00,1,-537.8346765282531,5.382262508805788,-18.17129225239116,0.0,18.17129225239116,0.9998375607669671,0.9998154247783776,0.9996889587750035,0.991951329241278,0.9903368062882022,0.9837244041525032,0.9892722638332364,0.9876679867160264,0.9810516599844689,0.9839344448140488,0.9823508382639842,0.9757267166109691,0.9839345203138541,0.9823509136832833,0,0,-11.463459902466518,0,-6.7078323499246455,0,0.0,0,0,2,0,-519.663384275862
2024-01-01 08:45:00,1,-537.8337915272355,5.383379218297505,-16.827241809374534,0.0,16.827241809374534,0.999837555560805,0.9998153375601436,0.9996888698536577,0.9919515687572519,0.9903329503305535,0.9837194808030664,0.9892724991725145,0.9876641203826243,0.9810467273427211,0.9839346719590569,0.9823469513193815,0.97572176555934,0.9839347474588215,0.9823470267383837,0,0,-10.68309285019986,0,-6.144148959174674,0,0.0,0,0,2,0,-521.0065497178609
2024-01-01 09:00:00,1,-537.8594567361812,5.354330367953445,-30.96490173422004,0.0,30.96490173422004,0.9998376919602577,0.999817635025277,0.9996912118043182,0.9919452184064298,0.9904345150540567,0.9838491551747085,0.9892662458475059,0.9877659457660548,0.9811766290427966,0.9839286086446402,0.9824492945562091,0.9758521175146031,0.9839286841454746,0.9824493699830356,0,0,-9.964901734220039,0,-21.0,0,0.0,0,0,2,0,-506.8945550019611
2024-01-01 09:15:00,1,-571.2992557624614,6.030719132215259,40.70500762606366,50.0,9.294992373936338,0.9998370971368283,0.999800816576202,0.999672104831255,0.9921328674443277,0.989395998430979,0.9828053344877283,0.9894507990914552,0.9867260976224766,0.980132391608413,0.9841069677857527,0.981406828606824,0.9748071040510111,0.9841070432841504,0.9814069039718363,0,0,-9.294992373936338,0,50.0,0,0.0,0,1,1,0,-612.004263388525
